Property_price_EGP,Location_governorate,Location_City,Bed_Rooms,Bath_Rooms,Home_Space_SQM,Furnished,Property_Type,Payment_Option,Delivery_Date
"1,950,000",Cairo,Madinaty,2,1.0,82,No,Apartment,Cash,Ready To Move
"2,920,000",Cairo,New Cairo - El Tagamoa,3,3.0,175,No,Apartment,Cash,Ready To Move
"2,145,000",Cairo,New Cairo - El Tagamoa,2,2.0,137,No,Apartment,Cash,Ready To Move
"5,800,000",Cairo,Madinaty,3,3.0,245,No,Apartment,Cash,Ready To Move
"2,500,000",Cairo,Rehab City,2,1.0,74,No,Apartment,Cash,Ready To Move
"5,700,000",Cairo,Rehab City,4,3.0,252,No,Apartment,Cash,Ready To Move
"5,000,000",Cairo,Heliopolis,4,3.0,340,No,Apartment,Cash,Ready To Move
"6,200,000Negotiable",,240 SQM,33icon/categories/area240 SQM,,icon/categories/area240,No,Apartment,Cash,Ready To Move
"3,800,000Negotiable",,221 SQM,32icon/categories/area221 SQM,,icon/categories/area221,No,Apartment,Cash,Ready To Move
"600,000Negotiable",,95 SQM,21icon/categories/area95 SQM,,icon/categories/area95,No,Apartment,Cash,Ready To Move
"8,000,000",Cairo,Madinaty,3,2.0,199,No,Apartment,Cash,Ready To Move
"7,300,000",Cairo,Madinaty,4,3.0,238,No,Apartment,Cash,Ready To Move
"3,000,000",Cairo,Nasr City,3,2.0,200,No,Apartment,Cash,Ready To Move
"4,700,000Negotiable",,140 SQM,23icon/categories/area140 SQM,,icon/categories/area140,No,Apartment,Cash,Ready To Move
"4,500,000Negotiable",,155 SQM,33icon/categories/area155 SQM,,icon/categories/area155,No,Apartment,Cash,Ready To Move
"3,000,000",Cairo,Nasr City,3,2.0,230,No,Apartment,Cash,Ready To Move
"2,750,000Negotiable",,120 SQM,22icon/categories/area120 SQM,,icon/categories/area120,No,Apartment,Cash,Ready To Move
"10,762,500",Cairo,New Cairo - El Tagamoa,3,3.0,240,No,Apartment,Cash,Ready To Move
"2,450,000Negotiable",,89 SQM,22icon/categories/area89 SQM,,icon/categories/area89,No,Apartment,Cash,Ready To Move
"500,000",Cairo,Badr City,2,1.0,70,No,Apartment,Cash,Ready To Move
"630,000",Cairo,Badr City,2,1.0,90,No,Apartment,Cash,Ready To Move
"950,000",Cairo,Nasr City,2,1.0,110,No,Apartment,Cash,Ready To Move
"4,250,000",Cairo,Madinaty,3,3.0,140,No,Apartment,Cash,Ready To Move
"4,800,000Negotiable",,200 SQM,42icon/categories/area200 SQM,,icon/categories/area200,No,Apartment,Cash,Ready To Move
"1,900,000Negotiable",,70 SQM,21icon/categories/area70 SQM,,icon/categories/area70,No,Apartment,Cash,Ready To Move
"4,250,000",Cairo,Madinaty,3,3.0,150,No,Apartment,Cash,Ready To Move
"1,900,000",Cairo,Madinaty,1,1.0,70,No,Apartment,Cash,Ready To Move
"3,400,000",Cairo,New Cairo - El Tagamoa,2,3.0,156,No,Apartment,Cash,Ready To Move
"975,000",Cairo,Katameya,1,2.0,115,No,Apartment,Cash,Ready To Move
"2,100,000Negotiable",,300 SQM,33icon/categories/area300 SQM,,icon/categories/area300,No,Apartment,Cash,Ready To Move
"1,800,000",Cairo,Shorouk City,3,2.0,163,No,Apartment,Cash,Ready To Move
"5,700,000",Cairo,Rehab City,4,3.0,252,No,Apartment,Cash,Ready To Move
"4,500,000",Cairo,New Cairo - El Tagamoa,3,3.0,275,No,Apartment,Cash,Ready To Move
"7,300,000",Cairo,New Cairo - El Tagamoa,3,2.0,200,No,Apartment,Cash,Ready To Move
"790,000",Cairo,Badr City,3,1.0,130,No,Apartment,Cash,Ready To Move
"4,150,000",Cairo,New Cairo - El Tagamoa,2,2.0,158,No,Apartment,Cash,Ready To Move
"2,400,000",Cairo,New Cairo - El Tagamoa,3,3.0,220,No,Apartment,Cash,Ready To Move
"2,300,000",Cairo,Madinaty,2,1.0,92,No,Apartment,Cash,Ready To Move
"2,150,000",Cairo,Nasr City,3,2.0,210,No,Apartment,Cash,Ready To Move
"1,400,000Negotiable",,105 SQM,22icon/categories/area105 SQM,,icon/categories/area105,No,Apartment,Cash,Ready To Move
"1,300,000Negotiable",,125 SQM,21icon/categories/area125 SQM,,icon/categories/area125,No,Apartment,Cash,Ready To Move
"1,650,000",Cairo,Madinaty,2,1.0,70,No,Apartment,Cash,Ready To Move
"3,000,000",Cairo,Madinaty,2,1.0,111,No,Apartment,Cash,Ready To Move
"5,000,000",Cairo,Rehab City,3,3.0,211,No,Apartment,Cash,Ready To Move
"1,750,000",Cairo,Heliopolis,4,2.0,140,No,Apartment,Cash,Ready To Move
"200,000",Cairo,New Cairo - El Tagamoa,2,2.0,166,No,Apartment,Cash,Ready To Move
"1,500,000",Cairo,Nasr City,3,1.0,120,No,Apartment,Cash,Ready To Move
"4,900,000Negotiable",,211 SQM,33icon/categories/area211 SQM,,icon/categories/area211,No,Apartment,Cash,Ready To Move
"2,000,000Negotiable",,82 SQM,21icon/categories/area82 SQM,,icon/categories/area82,No,Apartment,Cash,Ready To Move
"2,900,000",Cairo,Madinaty,2,2.0,89,No,Apartment,Cash,Ready To Move
"5,000,000",Cairo,Rehab City,3,3.0,211,No,Apartment,Cash,Ready To Move
"7,000,000",Cairo,Madinaty,3,3.0,200,No,Apartment,Cash,Ready To Move
"2,500,000",Cairo,Nasr City,3,2.0,173,No,Apartment,Cash,Ready To Move
"2,200,000",Cairo,Nasr City,3,2.0,210,No,Apartment,Cash,Ready To Move
"2,850,000",Cairo,New Cairo - El Tagamoa,2,2.0,128,No,Apartment,Cash,Ready To Move
"3,000,000",Cairo,Rehab City,2,1.0,106,No,Apartment,Cash,Ready To Move
"1,450,000",Cairo,Heliopolis,2,1.0,120,No,Apartment,Cash,Ready To Move
"580,000",Cairo,Badr City,3,1.0,140,No,Apartment,Cash,Ready To Move
"4,868,750",Cairo,New Cairo - El Tagamoa,3,3.0,240,No,Apartment,Cash,Ready To Move
"2,450,000",Cairo,Rehab City,2,1.0,99,No,Apartment,Cash,Ready To Move
"2,900,000",Cairo,Madinaty,2,2.0,89,No,Apartment,Cash,Ready To Move
"5,000,000Negotiable",,211 SQM,33icon/categories/area211 SQM,,icon/categories/area211,No,Apartment,Cash,Ready To Move
"5,000,000",Cairo,Rehab City,3,3.0,211,No,Apartment,Cash,Ready To Move
"3,000,000",Cairo,Nasr City,3,3.0,300,No,Apartment,Cash,Ready To Move
"2,250,000Negotiable",,185 SQM,32icon/categories/area185 SQM,,icon/categories/area185,No,Apartment,Cash,Ready To Move
"670,000Negotiable",,80 SQM,21icon/categories/area80 SQM,,icon/categories/area80,No,Apartment,Cash,Ready To Move
"5,800,000",Cairo,New Cairo - El Tagamoa,2,2.0,150,No,Apartment,Cash,Ready To Move
"8,500,000",Cairo,Rehab City,4,4.0,305,No,Apartment,Cash,Ready To Move
"4,800,000Negotiable",,211 SQM,32icon/categories/area211 SQM,,icon/categories/area211,No,Apartment,Cash,Ready To Move
"4,800,000Negotiable",,211 SQM,33icon/categories/area211 SQM,,icon/categories/area211,No,Apartment,Cash,Ready To Move
"1,650,000",Cairo,Madinaty,2,1.0,70,No,Apartment,Cash,Ready To Move
"1,750,000",Cairo,Nasr City,2,1.0,150,No,Apartment,Cash,Ready To Move
"150,000",Cairo,Marg,2,1.0,80,No,Apartment,Cash,Ready To Move
"1,600,000",Cairo,Madinaty,1,1.0,58,No,Apartment,Cash,Ready To Move
"2,300,000Negotiable",,56 SQM,11icon/categories/area56 SQM,,icon/categories/area56,No,Apartment,Cash,Ready To Move
"2,100,000",Cairo,Rehab City,1,1.0,60,No,Apartment,Cash,Ready To Move
"1,100,000",Cairo,Sheraton,2,2.0,120,No,Apartment,Cash,Ready To Move
"1,900,000",Cairo,Madinaty,2,1.0,70,No,Apartment,Cash,Ready To Move
"3,200,000Negotiable",,157 SQM,33icon/categories/area157 SQM,,icon/categories/area157,No,Apartment,Cash,Ready To Move
"1,850,000",Cairo,Madinaty,2,1.0,82,No,Apartment,Cash,Ready To Move
"3,700,000Negotiable",,157 SQM,33icon/categories/area157 SQM,,icon/categories/area157,No,Apartment,Cash,Ready To Move
"1,800,000",Cairo,New Cairo - El Tagamoa,3,3.0,156,No,Apartment,Cash,Ready To Move
"1,200,000",Cairo,Nasr City,2,1.0,60,No,Apartment,Cash,Ready To Move
"1,900,000",Cairo,Madinaty,2,1.0,70,No,Apartment,Cash,Ready To Move
"3,100,000",Cairo,New Cairo - El Tagamoa,4,3.0,250,No,Apartment,Cash,Ready To Move
"1,850,000",Cairo,Madinaty,2,1.0,70,No,Apartment,Cash,Ready To Move
"650,000",Cairo,New Cairo - El Tagamoa,2,1.0,70,No,Apartment,Cash,Ready To Move
"5,200,000",Cairo,New Cairo - El Tagamoa,1,3.0,132,No,Apartment,Cash,Ready To Move
"6,000,000Negotiable",,185 SQM,33icon/categories/area185 SQM,,icon/categories/area185,No,Apartment,Cash,Ready To Move
"1,800,000Negotiable",,140 SQM,22icon/categories/area140 SQM,,icon/categories/area140,No,Apartment,Cash,Ready To Move
"2,000,000",Cairo,Madinaty,2,2.0,92,No,Apartment,Cash,Ready To Move
"3,200,000",Cairo,New Cairo - El Tagamoa,2,2.0,127,No,Apartment,Cash,Ready To Move
"3,000,000",Cairo,Nasr City,3,3.0,220,No,Apartment,Cash,Ready To Move
"1,100,000Negotiable",,175 SQM,31icon/categories/area175 SQM,,icon/categories/area175,No,Apartment,Cash,Ready To Move
"1,500,000",Cairo,Nasr City,3,1.0,150,No,Apartment,Cash,Ready To Move
"7,500,000Negotiable",,220 SQM,33icon/categories/area220 SQM,,icon/categories/area220,No,Apartment,Cash,Ready To Move
"1,600,000",Cairo,Nasr City,3,2.0,190,No,Apartment,Cash,Ready To Move
"3,650,000",Cairo,New Cairo - El Tagamoa,2,2.0,133,No,Apartment,Cash,Ready To Move
"550,000Negotiable",,70 SQM,21icon/categories/area70 SQM,,icon/categories/area70,No,Apartment,Cash,Ready To Move
"5,000,000Negotiable",,200 SQM,33icon/categories/area200 SQM,,icon/categories/area200,No,Apartment,Cash,Ready To Move
"2,800,000",Cairo,New Cairo - El Tagamoa,3,2.0,180,No,Apartment,Cash,Ready To Move
"2,100,000",Cairo,Madinaty,2,1.0,83,No,Apartment,Cash,Ready To Move
"2,050,000Negotiable",,82 SQM,21icon/categories/area82 SQM,,icon/categories/area82,No,Apartment,Cash,Ready To Move
"1,650,000",Cairo,Madinaty,2,1.0,70,No,Apartment,Cash,Ready To Move
"650,000",Cairo,Badr City,3,2.0,115,No,Apartment,Cash,Ready To Move
"1,900,000",Cairo,Madinaty,2,1.0,70,No,Apartment,Cash,Ready To Move
"5,000,000",Cairo,Rehab City,3,3.0,156,No,Apartment,Cash,Ready To Move
"500,000Negotiable",,60 SQM,21icon/categories/area60 SQM,,icon/categories/area60,No,Apartment,Cash,Ready To Move
"4,800,000",Cairo,New Cairo - El Tagamoa,3,3.0,160,No,Apartment,Cash,Ready To Move
"3,000,000",Cairo,New Cairo - El Tagamoa,1,1.0,90,No,Apartment,Cash,Ready To Move
"4,700,000",Cairo,Rehab City,3,3.0,211,No,Apartment,Cash,Ready To Move
"970,653",Cairo,New Capital City,1,1.0,32,No,Apartment,Cash,Ready To Move
"2,600,000",Cairo,Madinaty,2,2.0,130,No,Apartment,Cash,Ready To Move
"3,100,000",Cairo,New Cairo - El Tagamoa,3,3.0,160,No,Apartment,Cash,Ready To Move
"5,500,000",Cairo,Nasr City,3,2.0,220,No,Apartment,Cash,Ready To Move
"3,850,000",Cairo,Nasr City,3,2.0,315,No,Apartment,Cash,Ready To Move
"1,900,000Negotiable",,180 SQM,32icon/categories/area180 SQM,,icon/categories/area180,No,Apartment,Cash,Ready To Move
"3,000,000",Cairo,New Cairo - El Tagamoa,2,2.0,146,No,Apartment,Cash,Ready To Move
"13,000,000",Cairo,New Cairo - El Tagamoa,4,3.0,360,No,Apartment,Cash,Ready To Move
"7,000,000",Cairo,Zamalek,3,3.0,200,No,Apartment,Cash,Ready To Move
"5,750,000",Cairo,Madinaty,3,2.0,142,No,Apartment,Cash,Ready To Move
"1,450,000",Cairo,Madinaty,1,1.0,64,No,Apartment,Cash,Ready To Move
"2,200,000",Cairo,Rehab City,1,1.0,80,No,Apartment,Cash,Ready To Move
"1,450,000",Cairo,Madinaty,1,1.0,64,No,Apartment,Cash,Ready To Move
"1,450,000",Cairo,Madinaty,1,1.0,65,No,Apartment,Cash,Ready To Move
"4,100,000",Cairo,Rehab City,3,3.0,171,No,Apartment,Cash,Ready To Move
"5,500,000Negotiable",,330 SQM,43icon/categories/area330 SQM,,icon/categories/area330,No,Apartment,Cash,Ready To Move
"1,800,000",Cairo,Madinaty,2,1.0,82,No,Apartment,Cash,Ready To Move
"2,900,000",Cairo,Madinaty,2,2.0,89,No,Apartment,Cash,Ready To Move
"1,900,000",Cairo,Obour City,3,2.0,180,No,Apartment,Cash,Ready To Move
"5,300,000Negotiable",,197 SQM,43icon/categories/area197 SQM,,icon/categories/area197,No,Apartment,Cash,Ready To Move
"8,000,000",Cairo,Madinaty,4,4.0,325,No,Apartment,Cash,Ready To Move
"9,000,000",Cairo,New Cairo - El Tagamoa,3,3.0,220,No,Apartment,Cash,Ready To Move
"4,000,000Negotiable",,170 SQM,32icon/categories/area170 SQM,,icon/categories/area170,No,Apartment,Cash,Ready To Move
"2,900,000",Cairo,Madinaty,2,2.0,89,No,Apartment,Cash,Ready To Move
"2,900,000",Cairo,Madinaty,2,2.0,90,No,Apartment,Cash,Ready To Move
"1,500,000",Cairo,Madinaty,2,2.0,89,No,Apartment,Cash,Ready To Move
"156,250",Cairo,New Cairo - El Tagamoa,4,3.0,420,No,Apartment,Cash,Ready To Move
"7,500,000",Cairo,Rehab City,5,4.0,305,No,Apartment,Cash,Ready To Move
"2,200,000",Cairo,Madinaty,3,1.0,96,No,Apartment,Cash,Ready To Move
"3,900,000Negotiable",,146 SQM,22icon/categories/area146 SQM,,icon/categories/area146,No,Apartment,Cash,Ready To Move
"2,000,000",Cairo,Madinaty,2,1.0,82,No,Apartment,Cash,Ready To Move
"1,900,000",Cairo,Madinaty,2,1.0,70,No,Apartment,Cash,Ready To Move
"4,600,000",Cairo,New Cairo - El Tagamoa,2,2.0,144,No,Apartment,Cash,Ready To Move
"550,000",Cairo,Heliopolis,3,2.0,200,No,Apartment,Cash,Ready To Move
"1,800,000",Cairo,Madinaty,2,1.0,70,No,Apartment,Cash,Ready To Move
"2,500,000Negotiable",,107 SQM,21icon/categories/area107 SQM,,icon/categories/area107,No,Apartment,Cash,Ready To Move
"1,150,000",Cairo,Sheraton,2,2.0,100,No,Apartment,Cash,Ready To Move
"3,500,000",Cairo,Madinaty,3,2.0,116,No,Apartment,Cash,Ready To Move
"4,100,000",Cairo,Rehab City,3,3.0,136,No,Apartment,Cash,Ready To Move
"1,900,000",Cairo,Madinaty,2,1.0,70,No,Apartment,Cash,Ready To Move
"1,800,000",Cairo,Madinaty,2,1.0,70,No,Apartment,Cash,Ready To Move
"1,450,000",Cairo,Madinaty,1,1.0,64,No,Apartment,Cash,Ready To Move
"1,450,000",Cairo,Madinaty,1,1.0,64,No,Apartment,Cash,Ready To Move
"1,450,000",Cairo,Madinaty,1,1.0,64,No,Apartment,Cash,Ready To Move
"3,400,000",Cairo,Rehab City,3,3.0,155,No,Apartment,Cash,Ready To Move
"1,800,000",Cairo,New Cairo - El Tagamoa,3,2.0,130,No,Apartment,Cash,Ready To Move
"3,100,000Negotiable",,119 SQM,33icon/categories/area119 SQM,,icon/categories/area119,No,Apartment,Cash,Ready To Move
"2,000,000",Cairo,New Cairo - El Tagamoa,1,2.0,86,No,Apartment,Cash,Ready To Move
"8,500,000",Cairo,New Cairo - El Tagamoa,3,3.0,305,No,Apartment,Cash,Ready To Move
"1,800,000",Cairo,New Cairo - El Tagamoa,2,1.0,119,No,Apartment,Cash,Ready To Move
"1,900,000",Cairo,Madinaty,2,1.0,70,No,Apartment,Cash,Ready To Move
"2,505,000",Cairo,Nasr City,4,2.0,226,No,Apartment,Cash,Ready To Move
"4,900,000Negotiable",,215 SQM,32icon/categories/area215 SQM,,icon/categories/area215,No,Apartment,Cash,Ready To Move
"2,000,000",Cairo,Madinaty,2,1.0,82,No,Apartment,Cash,Ready To Move
"1,900,000Negotiable",,170 SQM,32icon/categories/area170 SQM,,icon/categories/area170,No,Apartment,Cash,Ready To Move
"4,200,000Negotiable",,136 SQM,32icon/categories/area136 SQM,,icon/categories/area136,No,Apartment,Cash,Ready To Move
"4,800,100",Cairo,Maadi,3,2.0,300,No,Apartment,Cash,Ready To Move
"3,500,000",Cairo,New Cairo - El Tagamoa,3,3.0,180,No,Apartment,Cash,Ready To Move
"1,150,000",Cairo,Sheraton,2,2.0,100,No,Apartment,Cash,Ready To Move
"2,500,000",Cairo,Nasr City,4,2.0,225,No,Apartment,Cash,Ready To Move
"3,000,000",Cairo,Madinaty,3,2.0,116,No,Apartment,Cash,Ready To Move
"3,250,000Negotiable",,133 SQM,32icon/categories/area133 SQM,,icon/categories/area133,No,Apartment,Cash,Ready To Move
"3,000,000",Cairo,Madinaty,3,2.0,133,No,Apartment,Cash,Ready To Move
"6,500,000",Cairo,Rehab City,3,3.0,250,No,Apartment,Cash,Ready To Move
"3,000,000",Cairo,Madinaty,3,2.0,116,No,Apartment,Cash,Ready To Move
"2,450,000",Cairo,Rehab City,3,2.0,123,No,Apartment,Cash,Ready To Move
"2,700,000",Cairo,New Cairo - El Tagamoa,1,2.0,88,No,Apartment,Cash,Ready To Move
"2,600,000",Cairo,Madinaty,2,1.0,108,No,Apartment,Cash,Ready To Move
"2,700,000",Cairo,New Cairo - El Tagamoa,3,2.0,121,No,Apartment,Cash,Ready To Move
"4,000,000",Cairo,New Cairo - El Tagamoa,3,2.0,150,No,Apartment,Cash,Ready To Move
"1,000,000",Cairo,Obour City,3,2.0,130,No,Apartment,Cash,Ready To Move
"580,000Negotiable",,115 SQM,32icon/categories/area115 SQM,,icon/categories/area115,No,Apartment,Cash,Ready To Move
"2,300,000",Cairo,Madinaty,2,1.0,103,No,Apartment,Cash,Ready To Move
"1,550,000",Cairo,Madinaty,1,1.0,50,No,Apartment,Cash,Ready To Move
"1,400,000",Cairo,New Cairo - El Tagamoa,2,1.0,105,No,Apartment,Cash,Ready To Move
"3,900,000",Cairo,New Cairo - El Tagamoa,2,2.0,146,No,Apartment,Cash,Ready To Move
"1,850,000",Cairo,Madinaty,2,2.0,89,No,Apartment,Cash,Ready To Move
"5,500,000Negotiable",,200 SQM,33icon/categories/area200 SQM,,icon/categories/area200,No,Apartment,Cash,Ready To Move
"5,850,000Negotiable",,211 SQM,33icon/categories/area211 SQM,,icon/categories/area211,No,Apartment,Cash,Ready To Move
"3,100,000",Cairo,New Cairo - El Tagamoa,2,2.0,135,No,Apartment,Cash,Ready To Move
"2,150,000",Cairo,Madinaty,2,2.0,96,No,Apartment,Cash,Ready To Move
"2,250,000",Cairo,Madinaty,2,2.0,96,No,Apartment,Cash,Ready To Move
"2,400,000Negotiable",,190 SQM,32icon/categories/area190 SQM,,icon/categories/area190,No,Apartment,Cash,Ready To Move
"3,900,000",Cairo,Nasr City,4,3.0,270,No,Apartment,Cash,Ready To Move
"1,520,000",Cairo,Madinaty,1,1.0,58,No,Apartment,Cash,Ready To Move
"1,900,000",Cairo,Nasr City,3,2.0,183,No,Apartment,Cash,Ready To Move
"2,500,000",Cairo,New Cairo - El Tagamoa,2,2.0,150,No,Apartment,Cash,Ready To Move
"2,000,000",Cairo,Madinaty,2,1.0,78,No,Apartment,Cash,Ready To Move
"4,100,000",Cairo,Rehab City,3,3.0,162,No,Apartment,Cash,Ready To Move
"3,100,000Negotiable",,108 SQM,21icon/categories/area108 SQM,,icon/categories/area108,No,Apartment,Cash,Ready To Move
"800,000",Cairo,Sheraton,2,2.0,120,No,Apartment,Cash,Ready To Move
"2,500,000",Cairo,Madinaty,2,1.0,78,No,Apartment,Cash,Ready To Move
"1,700,000",Cairo,Obour City,3,2.0,198,No,Apartment,Cash,Ready To Move
"3,200,000",Cairo,Rehab City,3,3.0,157,No,Apartment,Cash,Ready To Move
"2,000,000Negotiable",,82 SQM,21icon/categories/area82 SQM,,icon/categories/area82,No,Apartment,Cash,Ready To Move
"2,750,000",Cairo,Madinaty,2,2.0,98,No,Apartment,Cash,Ready To Move
"5,150,000",Cairo,New Cairo - El Tagamoa,2,2.0,136,No,Apartment,Cash,Ready To Move
"2,250,000",Cairo,Sheraton,3,2.0,155,No,Apartment,Cash,Ready To Move
"3,100,000",Cairo,Madinaty,3,1.0,107,No,Apartment,Cash,Ready To Move
"2,150,000",Cairo,Madinaty,2,2.0,91,No,Apartment,Cash,Ready To Move
"1,900,000",Cairo,Nasr City,3,1.0,180,No,Apartment,Cash,Ready To Move
"1,750,000",Cairo,New Cairo - El Tagamoa,3,2.0,154,No,Apartment,Cash,Ready To Move
"4,750,000",Cairo,New Cairo - El Tagamoa,3,3.0,240,No,Apartment,Cash,Ready To Move
"8,150,000",Cairo,Madinaty,4,4.0,325,No,Apartment,Cash,Ready To Move
"5,200,000",Cairo,Madinaty,4,4.0,259,No,Apartment,Cash,Ready To Move
"2,500,000",Cairo,Madinaty,2,1.0,98,No,Apartment,Cash,Ready To Move
"2,500,000",Cairo,Madinaty,2,1.0,98,No,Apartment,Cash,Ready To Move
"1,500,000",Cairo,Madinaty,1,1.0,50,No,Apartment,Cash,Ready To Move
"2,500,000",Cairo,Madinaty,2,1.0,98,No,Apartment,Cash,Ready To Move
"2,000,000",Cairo,Madinaty,2,1.0,78,No,Apartment,Cash,Ready To Move
"3,580,000",Cairo,New Cairo - El Tagamoa,2,2.0,133,No,Apartment,Cash,Ready To Move
"3,500,000",Cairo,New Cairo - El Tagamoa,2,2.0,150,No,Apartment,Cash,Ready To Move
"2,650,000",Cairo,New Cairo - El Tagamoa,1,1.0,88,No,Apartment,Cash,Ready To Move
"6,500,000",Cairo,New Cairo - El Tagamoa,2,2.0,160,No,Apartment,Cash,Ready To Move
"5,200,000",Cairo,New Cairo - El Tagamoa,3,3.0,245,No,Apartment,Cash,Ready To Move
"8,150,000",Cairo,Madinaty,4,4.0,325,No,Apartment,Cash,Ready To Move
"8,150,000",Cairo,Madinaty,4,4.0,325,No,Apartment,Cash,Ready To Move
"2,200,000",Cairo,Rehab City,2,1.0,90,No,Apartment,Cash,Ready To Move
"2,850,000Negotiable",,230 SQM,32icon/categories/area230 SQM,,icon/categories/area230,No,Apartment,Cash,Ready To Move
"3,200,000Negotiable",,157 SQM,33icon/categories/area157 SQM,,icon/categories/area157,No,Apartment,Cash,Ready To Move
"4,500,000",Cairo,New Cairo - El Tagamoa,5,3.0,270,No,Apartment,Cash,Ready To Move
"2,400,000",Cairo,Rehab City,2,1.0,90,No,Apartment,Cash,Ready To Move
"4,750,000Negotiable",,240 SQM,33icon/categories/area240 SQM,,icon/categories/area240,No,Apartment,Cash,Ready To Move
"3,500,000Negotiable",,220 SQM,33icon/categories/area220 SQM,,icon/categories/area220,No,Apartment,Cash,Ready To Move
"4,700,000",Cairo,Rehab City,3,3.0,211,No,Apartment,Cash,Ready To Move
"2,200,000Negotiable",,99 SQM,21icon/categories/area99 SQM,,icon/categories/area99,No,Apartment,Cash,Ready To Move
"4,250,000",Cairo,Madinaty,3,3.0,157,No,Apartment,Cash,Ready To Move
"3,500,000",Cairo,Madinaty,3,2.0,116,No,Apartment,Cash,Ready To Move
"2,650,000Negotiable",,180 SQM,32icon/categories/area180 SQM,,icon/categories/area180,No,Apartment,Cash,Ready To Move
"2,000,000",Cairo,Madinaty,2,1.0,78,No,Apartment,Cash,Ready To Move
"2,000,000",Cairo,Nasr City,3,2.0,185,No,Apartment,Cash,Ready To Move
"5,250,000",Cairo,Madinaty,4,3.0,270,No,Apartment,Cash,Ready To Move
"2,150,000",Cairo,Nasr City,3,2.0,210,No,Apartment,Cash,Ready To Move
"2,500,000Negotiable",,162 SQM,32icon/categories/area162 SQM,,icon/categories/area162,No,Apartment,Cash,Ready To Move
"4,350,000",Cairo,Rehab City,3,3.0,162,No,Apartment,Cash,Ready To Move
"6,500,000",Cairo,Madinaty,4,4.0,320,No,Apartment,Cash,Ready To Move
"1,300,000",Cairo,Sheraton,2,2.0,120,No,Apartment,Cash,Ready To Move
"2,150,000",Cairo,Nasr City,3,2.0,210,No,Apartment,Cash,Ready To Move
"3,150,000Negotiable",,149 SQM,32icon/categories/area149 SQM,,icon/categories/area149,No,Apartment,Cash,Ready To Move
"3,500,000",Cairo,New Cairo - El Tagamoa,2,2.0,150,No,Apartment,Cash,Ready To Move
"2,150,000",Cairo,Nasr City,3,2.0,210,No,Apartment,Cash,Ready To Move
"1,350,000",Cairo,Maadi,2,1.0,100,No,Apartment,Cash,Ready To Move
"3,000,000",Cairo,Nasr City,3,2.0,230,No,Apartment,Cash,Ready To Move
"2,000,000",Cairo,Madinaty,2,2.0,89,No,Apartment,Cash,Ready To Move
"1,880,000Negotiable",,67 SQM,21icon/categories/area67 SQM,,icon/categories/area67,No,Apartment,Cash,Ready To Move
"3,800,000",Cairo,Madinaty,3,3.0,165,No,Apartment,Cash,Ready To Move
"2,750,000Negotiable",,108 SQM,22icon/categories/area108 SQM,,icon/categories/area108,No,Apartment,Cash,Ready To Move
"3,500,000",Cairo,Madinaty,3,2.0,116,No,Apartment,Cash,Ready To Move
"350,000Negotiable",,81 SQM,21icon/categories/area81 SQM,,icon/categories/area81,No,Apartment,Cash,Ready To Move
"1,470,000",Cairo,Madinaty,1,1.0,54,No,Apartment,Cash,Ready To Move
"3,200,000",Cairo,New Cairo - El Tagamoa,3,3.0,157,No,Apartment,Cash,Ready To Move
"4,200,000",Cairo,New Cairo - El Tagamoa,3,3.0,225,No,Apartment,Cash,Ready To Move
"4,500,000",Cairo,Nasr City,4,3.0,315,No,Apartment,Cash,Ready To Move
"2,450,000",Cairo,Madinaty,2,2.0,96,No,Apartment,Cash,Ready To Move
"2,250,000",Cairo,Sheraton,3,2.0,180,No,Apartment,Cash,Ready To Move
"2,500,000",Cairo,Rehab City,2,1.0,90,No,Apartment,Cash,Ready To Move
"2,050,000",Cairo,Madinaty,2,2.0,89,No,Apartment,Cash,Ready To Move
"3,000,000Negotiable",,260 SQM,43icon/categories/area260 SQM,,icon/categories/area260,No,Apartment,Cash,Ready To Move
"2,250,000",Cairo,Madinaty,2,1.0,91,No,Apartment,Cash,Ready To Move
"7,400,000",Cairo,New Cairo - El Tagamoa,3,3.0,195,No,Apartment,Cash,Ready To Move
"1,500,000",Cairo,Shorouk City,2,1.0,150,No,Apartment,Cash,Ready To Move
"2,000,000",Cairo,Madinaty,2,1.0,78,No,Apartment,Cash,Ready To Move
"3,000,000",Cairo,New Cairo - El Tagamoa,3,2.0,131,No,Apartment,Cash,Ready To Move
"1,250,000",Cairo,Sheraton,2,2.0,120,No,Apartment,Cash,Ready To Move
"1,600,000",Cairo,Sheraton,3,2.0,120,No,Apartment,Cash,Ready To Move
"1,800,000",Cairo,Madinaty,1,1.0,64,No,Apartment,Cash,Ready To Move
"3,200,000Negotiable",,131 SQM,32icon/categories/area131 SQM,,icon/categories/area131,No,Apartment,Cash,Ready To Move
"2,100,000",Cairo,Madinaty,2,2.0,96,No,Apartment,Cash,Ready To Move
"3,400,000",Cairo,Nasr City,4,2.0,340,No,Apartment,Cash,Ready To Move
"2,250,000Negotiable",,108 SQM,31icon/categories/area108 SQM,,icon/categories/area108,No,Apartment,Cash,Ready To Move
"2,300,000",Cairo,Rehab City,2,1.0,90,No,Apartment,Cash,Ready To Move
"3,720,000",Cairo,New Cairo - El Tagamoa,3,3.0,160,No,Apartment,Cash,Ready To Move
"3,990,000",Cairo,Madinaty,3,2.0,160,No,Apartment,Cash,Ready To Move
